index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
298,7893,FLAGLER COLLEGE,SAINT AUGUSTINE,FL,32085,Private-Nonprofit,Subsidized,1024,1033,4390311.0,1033,2277418.0,29.8946952,-81.3145395,SAINT AUGUSTINE,FL,32085
299,1540,WEBBER INTERNATIONAL UNIVERSITY,BABSON PARK,FL,33827,Private-Nonprofit,Subsidized,864,864,3536458.0,864,1768903.0,27.81445,-81.51484,Babson Park,FL,33827
300,1519,SANTA FE COLLEGE,GAINESVILLE,FL,32606,Public,Subsidized,1298,1298,4778633.0,1300,2405580.0,29.68169,-82.44391,Gainesville,FL,32606
302,1520,SEMINOLE STATE COLLEGE OF FLORIDA,SANFORD,FL,32773,Public,Subsidized,1131,1169,4189829.0,1170,2095861.0,28.75264,-81.24659,Sanford,FL,32773
303,31155,ADVENTHEALTH UNIVERSITY,ORLANDO,FL,32803,Private-Nonprofit,Subsidized,227,228,862236.0,228,349439.0,28.55592,-81.34895,Orlando,FL,32803
304,1500,BROWARD COLLEGE,FORT LAUDERDALE,FL,33301,Public,Subsidized,1968,1969,7418220.0,1969,3708257.0,26.12128,-80.12745,Fort Lauderdale,FL,33301
306,1477,FLORIDA SOUTHWESTERN STATE COLLEGE,FORT MYERS,FL,33919,Public,Subsidized,1416,1419,5279650.0,1419,2639217.0,26.55607,-81.90388,Fort Myers,FL,33919
307,1533,TALLAHASSEE COMMUNITY COLLEGE,TALLAHASSEE,FL,32304,Public,Subsidized,949,967,3419805.0,968,1227088.0,30.45346,-84.35314,Tallahassee,FL,32304
308,1471,COLLEGE OF CENTRAL FLORIDA,OCALA,FL,34474,Public,Subsidized,768,768,2685631.0,768,1333927.0,29.15515,-82.21106,Ocala,FL,34474
309,8848,WARNER UNIVERSITY,LAKE WALES,FL,33859,Private-Nonprofit,Subsidized,514,517,2126858.0,520,1054970.0,27.88428,-81.63106,Lake Wales,FL,33859
