index,OPE ID,School,City,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
4276,1009,AUBURN UNIVERSITY,AUBURN,AL,36849,Public,Unsubsidized - Undergraduate,5365,5365,20691872,5421,10757338
9935,3438,MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,29425,Public,Unsubsidized - Graduate,852,867,23684782,867,10699723
9540,2894,UNIVERSITY OF ROCHESTER,ROCHESTER,NY,14627,Private-Nonprofit,Unsubsidized - Graduate,815,829,21236116,830,10685680
9281,2268,GRAND VALLEY ST UNIVERSITY,ALLENDALE,MI,49401,Public,Unsubsidized - Graduate,1221,1221,20687153,1221,10676726
451,1809,INDIANA UNIVERSITY - BLOOMINGTON,BLOOMINGTON,IN,47405,Public,Subsidized,5036,5308,20887993,5308,10674477
9005,1821,MARIAN UNIVERSITY,INDIANAPOLIS,IN,46222,Private-Nonprofit,Unsubsidized - Graduate,545,545,21288239,548,10672918
604,2010,LOUISIANA STATE UNIVERSITY & AGRICULTURAL & MECHANICAL COLLEGE,BATON ROUGE,LA,70803,Public,Subsidized,4912,4930,20522173,4930,10667698
9967,3474,UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,57069,Public,Unsubsidized - Graduate,1085,1113,21006288,1113,10667271
5010,2307,OAKLAND UNIVERSITY,ROCHESTER,MI,48309,Public,Unsubsidized - Undergraduate,4683,5021,20498780,5021,10660413
4547,1489,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,32306,Public,Unsubsidized - Undergraduate,4620,4620,10641966,4661,10641966
12920,1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,Public,Parent Plus,1719,1723,31238633,1726,10639249
376,1776,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,IL,60612,Public,Subsidized,4597,4664,20835892,4664,10631636
1222,3184,UNIVERSITY OF OKLAHOMA - NORMAN CAMPUS,NORMAN,OK,73019,Public,Subsidized,4677,4852,20823936,4852,10626250
